Country;Alcoholic Beverages;Animal Products;Animal fats;Aquatic Products, Other;Cereals - Excluding Beer;Eggs;Fish, Seafood;Fruits - Excluding Wine;Meat;Miscellaneous;Milk - Excluding Butter;Offals;Oilcrops;Pulses;Spices;Starchy Roots;Stimulants;Sugar Crops;Sugar & Sweeteners;Treenuts;Vegetal Products;Vegetable Oils;Vegetables;Obesity;Undernourished;Confirmed;Deaths;Recovered;Active;Population;Unit (all except Population);
Russian Federation;0;27.936;7.2;0;16.511;19.603;0.9415;0.2138;108.433;0.0091;68.453;0.1455;0.7823;0.0546;0.0273;0.141;0.4184;0;0;0.1274;22.064;183.753;0.2638;25.7;<2.5;0.43178537596009;0.00617456433882411;0.271541800982751;0.154069010638515;146731000;%;
Rwanda;0;110.727;10.364;0;48.545;0.1636;0.6364;96.727;52.182;0.0182;37.818;0.2364;36.545;26.909;0.0545;21.636;0.0545;0;0;0.0182;389.091;155.091;0.2545;4.8;36.8;0.00712758374910905;1,58E+09;0.00350835511206146;0.00360338956204958;12627000;%;
Saint Kitts and Nevis;0;243.013;4.737;0;20.602;0.56;0.7296;0.3596;143.547;0.1439;37.916;0.1233;29.028;0.1541;0.2055;0.0462;0.1798;0;0;0.5189;257.039;190.043;0.1233;23.1;NA;0.0283018867924528;0;0.0283018867924528;0;53000;%;
Saint Lucia;0;333.454;3.813;0;16.712;0.5249;15.867;0.3741;228.778;0.1629;43.137;0.2353;24.012;0.181;0.4163;0.0965;0.9894;0;0;0.5551;166.516;96.531;0.1508;19.8;NA;0.0105555555555556;0;0.0105555555555556;0;180000;%;
Saint Vincent and the Grenadines;0;244.653;1.085;0;43.274;0.7589;0.715;0.7526;17.529;0.2258;42.521;0.1254;0.6773;0.2759;12.919;0.1756;17.184;0;0;0.4516;255.315;153.904;0.2509;23.8;5.7;0.0261261261261261;0;0.0261261261261261;0;111000;%;
Samoa;0;216.806;4.778;0.0036;15.771;0.2227;18.968;0.6287;132.418;0.0683;14.693;0.0683;168.666;0;0.115;0.3341;0.291;0;0;0.0611;283.194;83.345;0.0431;45.5;2.7;NA;NA;NA;NA;199000;%;
Sao Tome and Principe;0;73.284;0.6241;0;29.864;0.1074;14.361;12.013;41.809;0.0537;0.9731;0.0134;207.704;0.1342;0.0336;0.1544;0.0738;0;0;0.0268;426.616;171.666;0.0738;10.6;7;0.346116504854369;0.00631067961165049;0.10631067961165;0.233495145631068;206000;%;
Saudi Arabia;0;153.954;26.475;0;52.126;0.9019;0.4122;0.4219;69.243;0.0873;44.125;0.097;0.6207;0.1794;0.48;0.0291;1.251;0;0;0.7128;34.607;254.182;0.1891;35;7.1;0.533324566017885;0.00453270208662108;0.364588812905488;0.164203051025776;34218000;%;
Senegal;0;6.104;0.7876;0;57.374;0.258;0.7129;0.0815;32.319;0.0068;0.9845;0.1222;39.041;0.1222;0.1697;0.0543;0.2037;0;0;0.387;439.028;330.391;0.1901;7.4;11.3;0.0404148257241041;0.000644329896907216;0.0263316151202749;0.0134388807069219;16296000;%;
Serbia;0;330.354;40.698;0;21.213;15.195;0.3396;0.578;181.385;0.006;87.594;0.2145;11.262;0.0775;0.0834;0.0596;15.016;0;0;0.9355;169.646;101.061;0.3635;23.5;5.7;0.202246220302376;0.00388768898488121;0.17946724262059;0.0188912886969042;6945000;%;
Sierra Leone;0;59.931;0.1678;0;32.063;0.2983;12.117;0.261;20.412;0.0373;21.996;0.0746;4.856;0.466;0.2889;0.4474;0.0746;0;0;0.0559;440.022;340.479;0.2703;7.5;25.6;0.0182644310764111;0.000767950851145527;0.0120696275438372;0.00542685268142839;7813000;%;
